URL,U ID,Domain,Department,Name,Description,Type,Visits,Creation Date,Refresh rate,Last Update Date (data),Last Updated,Category,Keywords,Downloads,Owner,Owner UID,Contact Email,License,Data Provided By,Source Link,Routing & Approval,api_endpoint,System,Does this data have a Location column? (Yes or No),What geographic unit is the data collected?,geometryType,hasAttachments
https://data.lacity.org/d/fdwe-pgcu,fdwe-pgcu,data.lacity.org,Housing and Community Investment,2014 Registered Foreclosure Properties,The 2014 Foreclosure Properties registered at HCIDLA between 1/1/2014 and 12/31/2014.,dataset,"94,262",05/28/2014 10:28:00 PM +0000,Quarterly,03/19/2015 08:56:00 PM +0000,,A Well Run City,"foreclosure,2014,hcidla","1,543",HCIDLA OpenData,tdkf-rwnq,,Creative Commons 1.0 Universal (Public Domain Dedication),,,,https://data.lacity.org/resource/fdwe-pgcu.json,,,,,
https://data.lacity.org/d/xsnc-uga6,xsnc-uga6,data.lacity.org,Harbor,Port of Los Angeles Tsunami Evacuation Routes & Signs,"LAPD & LAPP Tsunami evacuation map.  Location of Tsunami evacuation signs posted throughout the Port, San Pedro and Wilmington area.  Data will be refresh if there's a change to the evacuation routes and signs.",gis map,"2,030",05/27/2014 11:25:00 PM +0000,Other - See Description,11/29/2016 06:43:00 PM +0000,,A Safe City,"tsunami,evacuation,route,signs,port,san pedro,wilmington",526,Port of Los Angeles,2ib6-ssvz,opendata@portla.org,Creative Commons 1.0 Universal (Public Domain Dedication),Port of Los Angeles,,,https://data.lacity.org/resource/xsnc-uga6.json,,Yes,Latitude/longitude,,
https://data.lacity.org/d/yv23-pmwf,yv23-pmwf,data.lacity.org,Building and Safety,Building and Safety Permit Information,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.",dataset,"452,819",03/19/2014 02:48:00 PM +0000,Weekly,07/07/2017 01:06:00 AM +0000,,A Prosperous City,"ladbs,department of building and safety,building and safety,building,safety,construction services,construction,permit,permit number,permit type,occupancy,sign,building permit,building new,new building,building alter repair,repair,remodel,building addition,building demolition,demolition permit,demolition,building relocation,relocation permit,relocation,swimming pool permit,swimming pool,spa,grading permit,grading,sign permit,electrical permit,electrical,solar pv permit,solar photovoltaic,solar pv,solar,photovoltaic,mechanical permit,mechanical,plumbing permit,plumbing,hvac permit,hvac,heating,ventilation,air-conditioning,air conditioning,ac,fire sprinkler permit,fire sprinkler,pressure vessel permit,pressure vessel,pv,elevator permit,elevator,commercial,1 or 2 family dwelling,apartment,valuation,plan check","3,336",Building and Safety OpenData,tdwf-cih6,jing.reyes@lacity.org,Public Domain,LADBS,,,https://data.lacity.org/resource/yv23-pmwf.json,,Yes,Latitude/longitude,,
https://controllerdata.lacity.org/d/pggv-e4fn,pggv-e4fn,controllerdata.lacity.org,Controller,eCheckbook Data,Financial Data for the Checkbook Explorer. Data since Fiscal Year 2012.,dataset,"20,569",10/16/2013 04:27:00 PM +0000,Monthly,07/14/2017 12:18:00 AM +0000,,Purchasing,"checkbook,echeckbook,expenditures,vendors,agencies","2,516",Riad,tnxe-g5ww,,Public Domain,Controller,http://controller.lacity.org,,https://controllerdata.lacity.org/resource/pggv-e4fn.json,FMS,,,,
https://controllerdata.lacity.org/d/qjfm-3srk,qjfm-3srk,controllerdata.lacity.org,Controller,Payroll,"Payroll information for all Los Angeles City Departments since 2011. Data for calendar years, updated on a quarterly basis by the Los Angeles City Controller's Office.

Breakouts for overtime, bonuses, healthcare costs and lump sump payouts begin in 2013.",dataset,"25,829",10/20/2013 01:53:00 AM +0000,Quarterly,08/19/2015 04:29:00 PM +0000,,Payroll,"payroll,personnel,bonuses,healthcare,overtime","1,409",Controller's Office,mnkj-bu52,,Public Domain,Controller,http://controller.lacity.org,,https://controllerdata.lacity.org/resource/qjfm-3srk.json,PaySR,,,,
https://controllerdata.lacity.org/d/f2ec-m4t9,f2ec-m4t9,controllerdata.lacity.org,Neighborhood Empowerment,Neighborhood Council Expenditures for Fiscal Year 2014,"Expenditures by the Neighborhood Councils for Fiscal Year 2014 (July 1 2013 - June 30 2014)

Information provided by the Department of Neighborhood Empowerment",dataset,"4,996",11/08/2013 12:32:00 AM +0000,Quarterly,11/14/2014 10:58:00 PM +0000,7/1/2014,Purchasing,"neighborhood council,expenditures,done,ncs,neighborhood","10,518",Department of Neighborhood Empowerment,ajd3-jp8q,,Public Domain,Department of Neighborhood Empowerment,http://www.empowerla.org,,https://controllerdata.lacity.org/resource/f2ec-m4t9.json,FMS,,,,
https://controllerdata.lacity.org/d/2xwp-pqjt,2xwp-pqjt,controllerdata.lacity.org,Controller,Property Tax Levies and Collections,"CAFR Page 346.

Last Ten Fiscal Years (amounts expressed in thousands).",dataset,304,01/21/2014 05:46:00 AM +0000,Annual,03/31/2015 05:56:00 PM +0000,,Revenue,"revenue,taxes,city of los angeles,city of los angeles controller,city of la,city of la controller,ron galperin,comprehensive annual financial report,cafr,net position,asset type,asset type group,activity type,cafr statistical section",303,Edwin Avanessian,7c7a-resi,,Public Domain,"Office of the Controller, City of Los Angeles",http://controller.lacity.org/stellent/groups/ElectedOfficials/@CTR_Contributor/documents/Contributor_Web_Content/LACITYP_027750.pdf#page=389,,https://controllerdata.lacity.org/resource/2xwp-pqjt.json,CAFR,,,,
https://controllerdata.lacity.org/d/ej7u-di9z,ej7u-di9z,controllerdata.lacity.org,Controller,Balance of All City Funds,"Balance of all Funds for the City of Los Angeles. Includes General Fund, Reserve Fund, Budget Stabilization Fund, and Special Funds.",dataset,"5,216",03/29/2014 12:25:00 AM +0000,Monthly,06/12/2017 07:46:00 PM +0000,,Audits and Reports,"revenue,expenditures,city of los angeles,city of los angeles controller,city of la,city of la controller,ron galperin,comprehensive annual financial report,cafr,net position,asset type,asset type group,activity type,cafr statistical section",692,Riad,tnxe-g5ww,,Public Domain,Controller,http://controller.lacity.org,,https://controllerdata.lacity.org/resource/ej7u-di9z.json,FMS,,,,
https://controllerdata.lacity.org/d/e5hk-hbnp,e5hk-hbnp,controllerdata.lacity.org,,Financial Documents and Reports for the Department of Water and Power,"A collection of financial documents, performance reports, and independent reviews of the Department of Water and Power (DWP).",dataset,"1,283",01/28/2015 03:04:00 AM +0000,As Needed,01/22/2016 10:29:00 PM +0000,,Audits and Reports,"dwp,water and power,reports,finance",272,Riad,tnxe-g5ww,,Public Domain,Controller,https://www.ladwp.com/ladwp/faces/ladwp/aboutus/a-financesandreports/a-fr-reports?_adf.ctrl-state=erf7qrx3x_266&_afrLoop=495790678229275&_afrWindowMode=0&_afrWindowId=null#%40%3F_afrWindowId%3Dnull%26_afrLoop%3D495790678229275%26_afrWindowMode%3D0%26_adf.ctrl-state%3Dehcdjdtw2_4,,https://controllerdata.lacity.org/resource/e5hk-hbnp.json,,,,,
https://data.lacity.org/d/6hcn-4jqh,6hcn-4jqh,data.lacity.org,,Branchnames,,dataset,15,05/02/2014 07:29:00 PM +0000,,05/02/2014 07:32:00 PM +0000,,,,0,jmin,wkhi-v3ik,,Creative Commons 1.0 Universal (Public Domain Dedication),,,Not in Queue,https://data.lacity.org/resource/6hcn-4jqh.json,,,,,
https://data.lacity.org/d/ukiu-8trj,ukiu-8trj,data.lacity.org,Information Technology,311 Call Center Tracking Data (Archived),"Basic 311 call tracking information including date and time of call, type of information requested, how the request was handled, and which departments were notified, from 2011-May 2016.",dataset,"4,274",05/29/2014 07:00:00 PM +0000,Other - See Description,06/09/2015 10:29:00 PM +0000,,A Well Run City,"311,call center,3-1-1","1,307",ITA OpenData,yb4r-dcys,ITA.Opendata@lacity.org,Creative Commons 1.0 Universal (Public Domain Dedication),,,,https://data.lacity.org/resource/ukiu-8trj.json,,No,,,
https://data.lacity.org/d/2in3-5b7t,2in3-5b7t,data.lacity.org,Mayor's Office,Immigration Workshops,Immigration Workshops around the City of Los Angeles.,dataset,"27,343",01/29/2015 09:10:00 PM +0000,Monthly,08/03/2017 05:47:00 PM +0000,,A Well Run City,"daca,dapa,immigration,workshops,ab60,drivers,license,citizenship,driver",880,Araceli,g27b-85mt,,Creative Commons 1.0 Universal (Public Domain Dedication),,,,https://data.lacity.org/resource/2in3-5b7t.json,,Yes,Street address,,
https://controllerdata.lacity.org/d/p37u-c75r,p37u-c75r,controllerdata.lacity.org,Controller,"Appropriations, Expenditures and Revenues","Ledger transactions for the City's appropriations, expenditures and revenues are shown in this dataset.",dataset,"1,571",09/03/2014 03:28:00 AM +0000,Monthly,06/10/2017 01:01:00 AM +0000,,Budget,"appropriations,revenues,expenditures",313,Riad,tnxe-g5ww,,Public Domain,Controller,http://controller.lacity.org,,https://controllerdata.lacity.org/resource/p37u-c75r.json,FMS,,,,
https://controllerdata.lacity.org/d/3ctd-sjrm,3ctd-sjrm,controllerdata.lacity.org,Controller,City Expenditures by Month,This dataset provides details for Fiscal Year expenditures by month since Fiscal Year 2012.,dataset,"1,827",03/17/2014 07:57:00 PM +0000,Monthly,06/10/2017 01:02:00 AM +0000,,Budget,"general fund,expenditures,monthly expenditures,los angeles,controller,ron galperin",397,Riad,tnxe-g5ww,,Public Domain,Controller,http://controller.lacity.org,,https://controllerdata.lacity.org/resource/3ctd-sjrm.json,FMS,,,,
https://data.lacity.org/d/pcpg-m7j5,pcpg-m7j5,data.lacity.org,,LAPD Crime and Collision Raw Data for 2013,LAPD Crime and Collision Raw Data for 2013,dataset,3,05/29/2014 10:50:00 PM +0000,Quarterly,03/16/2016 03:04:00 AM +0000,,A Safe City,"police,crime,collisions,lapd,traffic,safety",0,LAPD OpenData,art8-rc4x,,,,,Not in Queue,https://data.lacity.org/resource/pcpg-m7j5.json,,Yes,,,
https://data.lacity.org/d/u4mj-cwbz,u4mj-cwbz,data.lacity.org,Housing and Community Investment,HCIDLA Affordable Housing Projects Catalog And Listing (2003 To Present),HCIDLA Managed Pipeline Projects beginning in 2003 to present.,dataset,"20,008",05/28/2014 05:13:00 PM +0000,Monthly,11/30/2015 05:43:00 PM +0000,,A Livable and Sustainable City,"hcidla,hcidla ahtf projects,hcidla affordable housing","1,159",HCIDLA OpenData,tdkf-rwnq,hcidla.opendata@lacity.org,Creative Commons 1.0 Universal (Public Domain Dedication),LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,http://www.hcidla.org,,https://data.lacity.org/resource/u4mj-cwbz.json,,Yes,Street address,,
https://data.lacity.org/d/qtax-byj7,qtax-byj7,data.lacity.org,Information Technology,BAVN Open Bid Opportunities,A listing of open bid opportunities provided by the City of Los Angeles and available on the Los Angeles Business Assistance Virtual Network (BAVN) at https://www.labavn.org,dataset,"45,633",05/27/2014 09:54:00 PM +0000,Daily,08/05/2017 01:00:00 AM +0000,,A Well Run City,"rfp,rfq,rfi,rfb,bids,proposals,labavn,bavn,jobs,construction,personal services,commodity,request for proposal,request for bid,request for quote,request for qualification,request for interest","4,861",ITA BAVN,ap42-x5cq,ITA.Opendata@lacity.org,Creative Commons 1.0 Universal (Public Domain Dedication),,,,https://data.lacity.org/resource/qtax-byj7.json,,No,,,
https://data.lacity.org/d/bpyg-ytsg,bpyg-ytsg,data.lacity.org,Information Technology,311 Service Request Data historical,"This data shows the source of 311 requests and the wait time to speak to an agent when dialing 311 for years 2013-2014.
For the new 311 dataset (refreshed daily), see https://data.lacity.org/A-Well-Run-City/MyLA311-Service-Request-Data-2016/ndkd-k878",dataset,469,05/30/2014 09:33:00 PM +0000,Other - See Description,05/30/2014 09:33:00 PM +0000,,A Well Run City,"311,myla311,311 app",581,ITA OpenData,yb4r-dcys,eduardo.magos@lacity.org,Creative Commons 1.0 Universal (Public Domain Dedication),,,,https://data.lacity.org/resource/bpyg-ytsg.json,,No,,,
https://data.lacity.org/d/b6xb-gu6n,b6xb-gu6n,data.lacity.org,,What's Happening LA Calendar Dataset,All-City event calendar,dataset,1,03/09/2014 05:14:00 PM +0000,,06/30/2016 11:44:00 PM +0000,,A Livable and Sustainable City,"event,calendar,all city",0,ITA OpenData,yb4r-dcys,,,,,Not in Queue,https://data.lacity.org/resource/b6xb-gu6n.json,,,,,
https://data.lacity.org/d/meun-aghe,meun-aghe,data.lacity.org,,What's Happening LA Calendar Dataset,All-City event calendar,dataset,1,03/09/2014 05:14:00 PM +0000,Daily,10/28/2016 01:46:00 PM +0000,,A Livable and Sustainable City,"event,calendar,all city",0,ITA OpenData,yb4r-dcys,,,,,Not in Queue,https://data.lacity.org/resource/meun-aghe.json,,No,,,
https://controllerdata.lacity.org/d/b2bg-s2pc,b2bg-s2pc,controllerdata.lacity.org,,What We Buy,,href,621,09/26/2015 06:38:00 PM +0000,,11/16/2015 07:27:00 PM +0000,,Purchasing,,92,Controller's Office,yikh-b4h5,,Public Domain,,http://controlpanel.la/cards,,https://controllerdata.lacity.org/resource/b2bg-s2pc.json,,,,,
https://controllerdata.lacity.org/d/fvfi-5kja,fvfi-5kja,controllerdata.lacity.org,Controller,Gender Breakdown of City Workers by Category,Analysis of 2013 full-time employee earnings by gender across the major employee categories in the City of Los Angeles.,dataset,"1,186",03/07/2014 02:42:00 AM +0000,Annual,03/27/2014 06:06:00 PM +0000,,Statistics,"city profile,demographic,employees,gender,women,equality,wage gap",402,Controller's Office,mnkj-bu52,,Public Domain,Controller,http://controller.lacity.org,,https://controllerdata.lacity.org/resource/fvfi-5kja.json,PaySR,,,,
https://data.lacity.org/d/mswm-gpfm,mswm-gpfm,data.lacity.org,,FME TEST FOR CRIME DATA WITH LAT AND LON,,dataset,6,09/15/2016 08:23:00 PM +0000,,09/15/2016 08:29:00 PM +0000,,,,0,LAPD OpenData,art8-rc4x,,,,,Not in Queue,https://data.lacity.org/resource/mswm-gpfm.json,,,,,
https://controllerdata.lacity.org/d/pazn-qyym,pazn-qyym,controllerdata.lacity.org,Controller,City Employee Payroll,"Payroll information for all Los Angeles City Employees including the City's three proprietary departments: Water and Power, Airports and Harbor. Data is updated on a quarterly basis by the Los Angeles City Controller's Office. Payroll information for employees of the Department of Water and Power is provided by the Department.",dataset,"2,885",07/28/2015 07:57:00 PM +0000,Quarterly,07/11/2017 10:55:00 PM +0000,,Payroll,"payroll,personnel,bonuses,healthcare,overtime","1,314",Riad,tnxe-g5ww,,Public Domain,Controller,http://controller.lacity.org,,https://controllerdata.lacity.org/resource/pazn-qyym.json,PaySR,,,,
https://controllerdata.lacity.org/d/u83c-cpep,u83c-cpep,controllerdata.lacity.org,Controller,City Payroll Data,"Payroll information for all Los Angeles City Departments since 2013. Data for calendar years, updated on a quarterly basis by the Los Angeles City Controller's Office.",dataset,75,07/28/2015 07:57:00 PM +0000,Quarterly,11/29/2016 02:22:00 AM +0000,,Payroll,"payroll,personnel,bonuses,healthcare,overtime",31,Riad,tnxe-g5ww,,Public Domain,Controller,http://controller.lacity.org,Not in Queue,https://controllerdata.lacity.org/resource/u83c-cpep.json,PaySR,,,,
https://data.lacity.org/d/ajiv-uc63,ajiv-uc63,data.lacity.org,LAWA,Los Angeles International Airport - Flight Operations By Month,Number of Flights That Occurred at the Airport,dataset,491,05/29/2014 03:59:00 PM +0000,,07/15/2017 03:04:00 PM +0000,,A Prosperous City,"lax,airport,terminal,flight,carrier","1,396",LAWA OpenData,gudt-ccne,,Creative Commons 1.0 Universal (Public Domain Dedication),,,,https://data.lacity.org/resource/ajiv-uc63.json,,,,,
https://data.lacity.org/d/5v3h-vptv,5v3h-vptv,data.lacity.org,Bureau of Engineering,Council Districts,Official Council District boundaries in the City of Los Angeles created and maintained by the Bureau of Engineering / GIS Mapping Division.,gis map,"1,221",05/14/2014 11:31:00 PM +0000,,03/24/2017 01:54:00 PM +0000,,A Well Run City,"council districts,councilmembers,city council boundaries,gis,geographic information","27,897",Public Works: Engineering OpenData,d7t2-dvpb,,Creative Commons 1.0 Universal (Public Domain Dedication),Bureau of Engineering,,,https://data.lacity.org/resource/5v3h-vptv.json,,,,,
https://controllerdata.lacity.org/d/uuhh-hvvk,uuhh-hvvk,controllerdata.lacity.org,,Home Page Stories,,dataset,430,09/24/2013 06:34:00 PM +0000,,06/10/2014 11:13:00 PM +0000,,Internal,,764,Dylan Bussone,vcvp-yass,,,,,,https://controllerdata.lacity.org/resource/uuhh-hvvk.json,,,,,
https://controllerdata.lacity.org/d/q45p-mx3u,q45p-mx3u,controllerdata.lacity.org,Controller,Gender Breakdown of City Workers by Department,Analysis of 2015 full-time employee earnings by gender across the various Departments of the City of Los Angeles.,dataset,"2,030",03/07/2014 02:37:00 AM +0000,Annual,04/07/2016 11:43:00 PM +0000,,Statistics,"city profile,demographic,employees,gender,women,equality,wage gap",531,Controller's Office,mnkj-bu52,,Public Domain,Controller,http://controller.lacity.org,,https://controllerdata.lacity.org/resource/q45p-mx3u.json,PaySR,,,,
https://data.lacity.org/d/dsxv-vtac,dsxv-vtac,data.lacity.org,,Parking Citations,Parking citations with latitude / longitude (XY) in US Feet coordinates according to the NAD_1983_StatePlane_California_V_FIPS_0405_Feet projection.,dataset,16,05/14/2015 05:18:00 AM +0000,Daily,03/25/2016 07:02:00 PM +0000,,A Well Run City,,0,ChelseaU,95pg-i79k,,,,,Not in Queue,https://data.lacity.org/resource/dsxv-vtac.json,,Yes,Latitude/longitude,,
https://data.lacity.org/d/sa82-xry4,sa82-xry4,data.lacity.org,Bureau of Engineering,Parcels,Official Parcel boundaries in the City of Los Angeles created and maintained by the Bureau of Engineering / GIS Mapping Division.,gis map,"2,575",05/14/2014 11:50:00 PM +0000,Monthly,07/21/2017 09:10:00 PM +0000,,A Livable and Sustainable City,"parcels,lots,property lines,cadastral,gis,geographic information","1,009",Public Works: Engineering OpenData,d7t2-dvpb,kirk.bishop@lacity.org,Creative Commons 1.0 Universal (Public Domain Dedication),Bureau of Engineering,,,https://data.lacity.org/resource/sa82-xry4.json,,Yes,Parcel (block/lot),,
https://controllerdata.lacity.org/d/7ct3-9xz9,7ct3-9xz9,controllerdata.lacity.org,Controller,City Employee Locations By Department,"A listing of the number of City employees in each zip code, by Department. Data current as of December 31, 2013, and reflects addresses provided by employees to the City's Payroll system. Employee-entered zip codes flagged as errors are set by default to coordinates (39.52368635500045, -99.11415045099966).",dataset,"1,300",06/09/2014 10:26:00 PM +0000,Annual,06/09/2014 10:28:00 PM +0000,,Payroll,"city employee location,location,employees,payroll",286,Controller's Office,mnkj-bu52,,Public Domain,Office of the Controller,http://controller.lacity.org,,https://controllerdata.lacity.org/resource/7ct3-9xz9.json,PaySR,,,,
https://data.lacity.org/d/94wu-3ps3,94wu-3ps3,data.lacity.org,Transportation,LADOT Traffic Counts Summary,"LADOT automated and manual traffic count summary data for intersections throughout Los Angeles. Manual counts (""MAN"" under the ""Type"" column) are generally 6-hr counts which have been expanded  using a conversion factor.",dataset,"2,358",05/29/2014 10:39:00 PM +0000,Annual,01/06/2017 05:55:00 PM +0000,,A Livable and Sustainable City,"traffic counts,automated counts,manual counts,transportation,streets","2,478",LA DOT OpenData,8b8n-vh2w,,Creative Commons 1.0 Universal (Public Domain Dedication),Transportation,http://ladot.lacity.org/what-we-do/traffic-volume-counts/current-count-data,,https://data.lacity.org/resource/94wu-3ps3.json,,Yes,Other,,
https://data.lacity.org/d/mgue-vbsx,mgue-vbsx,data.lacity.org,LAPD,LAPD Calls for Service 2014,LAPD Calls for Service 2014,dataset,"2,754",05/29/2014 05:32:00 PM +0000,Monthly,07/05/2017 05:48:00 PM +0000,,A Safe City,"police,crime,collisions,lapd,traffic,safety","1,088",LAPD OpenData,art8-rc4x,,Creative Commons 1.0 Universal (Public Domain Dedication),,,,https://data.lacity.org/resource/mgue-vbsx.json,,No,,,
